CHARGE1STATUTE,CHARGE1DESCRIPTION,OffenseDescription,OffenseDescription2,OffenseType,OffenseTypeSort
1-21-010,FALSE STATEMENTS,Other offense,Other public order offense,Public order offense,6
1-4-145-A,FAILURE TO APPEAR IN COURT,Other offense,Other public order offense,Public order offense,6
1-4-145-A,FAILURE TO APPEAR IN COURT (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-28-040,BUILDING UPON PUBLIC WAYS,Other offense,Other public order offense,Public order offense,6
10-28-070,STORAGE OF GOODS ON PUBLIC WAYS,Other offense,Other public order offense,Public order offense,6
10-36-050,BREACH OF PEACE,Other offense,Other public order offense,Public order offense,6
10-36-100,PUB PARK/PLAYGND/BEACH - INTOXICATING LIQUORS,Other offense,Other public order offense,Public order offense,6
10-36-110,PUB PARK/PLAYGND/BEACH - HOURS,Other offense,Other public order offense,Public order offense,6
10-36-120,CURFEW/SCHOOL PROPERTY AND PLAYGROUND,Other offense,Other public order offense,Public order offense,6
10-36-130,PUB PARK/PLAYGND/BEACH - GLASS PROHIBITED,Other offense,Other public order offense,Public order offense,6
10-36-185 - VIOL. PARK DIST. CODE CH VII B 2,CPD AUTHORITY/PARK DISTRICT/USE OF PARKS/PARK HOURS,Other offense,Other public order offense,Public order offense,6
10-36-185 - VIOL. PARK DIST. CODE CH VII B 7,CPD AUTHORITY/PARK DISTRICT/ALCOHOLIC BEVERAGE/PARK PROPERTY,Other offense,Other public order offense,Public order offense,6
10-36-185 - VIOL. PARK DIST. CODE CH VII B 7,CPD AUTHORITY/PARK DISTRICT/ALCOHOLIC BEVERAGE/PARK PROPERTY (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-36-400,SMALL UNMANED AIRCRAFT,Other offense,Other public order offense,Public order offense,6
10-36-400,SMALL UNMANNED AIRCRAFT,Other offense,Other public order offense,Public order offense,6
10-8-080,PERMIT REQUIRED/CHARITABLE SOLICITATIONS,Other offense,Other public order offense,Public order offense,6
10-8-080,PERMIT REQUIRED/CHARITABLE SOLICITATIONS (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-8-320,POSTING BILLS,Other offense,Other public order offense,Public order offense,6
10-8-330,"PARADE, PUBLIC ASSEMBLY OR ATHLETIC EVENT",Other offense,Other public order offense,Public order offense,6
10-8-334(D),PUBLIC ASSEMBLY,Other offense,Other public order offense,Public order offense,6
10-8-402,PERMIT REQUIRED,Other offense,Other public order offense,Public order offense,6
10-8-480,REFUSE - LITTER/ LIQUIDS ON PUB. WAY/WATER WAY,Other offense,Other public order offense,Public order offense,6
10-8-500,SELLING TICKETS NEAR AMUSEMENT PARK,Other offense,Other public order offense,Public order offense,6
10-8-505,UNLAWFUL SALE OF ADMISSION TICKETS,Other offense,Other public order offense,Public order offense,6
10-8-505,UNLAWFUL SALE OF ADMISSION TICKETS (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-8-510,SOLICITING BUSINESS,Other offense,Other public order offense,Public order offense,6
